lemma,code,pos,en_word,disambiguation,sentence,wn_definition,lux_definition,gloss_with_example,gloss_without_example
pathologesch,PATHOLOGESCH1UNI1,ADJ,pathological,relating to pathology,"fir de Suivi vun der Behandlung wier et wichteg, der Patientin hire pathologeschen Dossier ze gesinn",of or relating to the practice of pathology,bezunn op d'Praxis vun der Krankheetsfuerschung,krankheetlech; bezitt sech op eng Krankheet oder eng krankhaft Verännerung vum Kierper.,Krankhaft oder mat enger Krankheet zesummenhängend.
praktesch,PRAKTESCH1UNI2,ADJ,practical,concerned with practice,ech hunn de prakteschen Exame gepackt,concerned with actual use or practice,bezitt sech op déi tatsächlech Notzung oder Uwendung,"praktesch: bezitt sech op eppes, wat mat der Praxis oder der praktescher Ëmsetzung ze dinn huet; net nëmmen theoretesch, mee konkret a praktesch duerchgefouert.","Praktesch bedeit, datt eppes nëtzlech, funktionell oder einfach an der Praxis ëmzesetzen ass."
Satellit,SATELLIT1UNI1,SUBST,satellite,celestial body,de Mound ass e Satellit vun der Äerd,any celestial body orbiting around a planet or star,"All Himmelskierper, deen ëm e Planéit oder e Stär kreest.","En Himmelskierper, deen ëm e Planéit kreest.","E Satellit ass en Objet, deen ëm e Planéit oder en aneren Himmelskierper kreest."
Schädling,SCHADLING1UNI1,SUBST,pest,"insect, plant",an eisem Wënzerbetrib gebrauche mir nëmme biologesch Mëttele géint d'Schädlingen an de Wéngerten,any unwanted and destructive insect or other animal that attacks food or crops or livestock etc.,"All onerwënscht an zerstéierend Insekt oder anert Déier, dat Liewensmëttel, Planzen oder Notzdéieren ugräift.","E Schädling ass en Déier oder Insekt, dat Planzen oder Friichten beschiedegt an domat Schued u Planzen oder Kulturen uriicht.","E Schädling ass en Déier oder en Insekt, dat Planzen oder Liewensmëttel beschiedegt oder zerstéiert."
Schifertafel,SCHIFERTAFEL1UNI1,SUBST,slate,writing tablet,fréier hat all Kand eng Schifertafel am Schoulsak,(formerly) a writing tablet made of slate,(eemoleg) eng Schreifplack aus Schifer gemaach,"eng kleng Tafel aus Schifer, op där fréier an der Schoul mat Kräid geschriwwe gouf","Eng flaach Plack aus Schifer, déi fréier an der Schoul benotzt gouf, fir drop ze schreiwen."
schlofen,SCHLOFEN1UNI1,VRB,to sleep,to slumber,ech leie gär um Bauch fir ze schlofen,be asleep,am Schlof sinn,"schlofen: an engem Zoustand sinn, wou ee rascht an d'Aen zou huet, normalerweis fir sech ze erhuelen.","Schlofen: sech ausrouen an engem Zoustand vu Rou an Onbewosstsinn, normalerweis an der Nuecht, fir sech ze erhuelen."
Sekonn,SEKONN1UNI1,SUBST,second,unit of time,de Coureur ass mat engem Virsprong vun dräi Sekonnen iwwer d'Arrivée gefuer,1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites,"1/60 vun enger Minutt; d'Grondeenheet vun der Zäit, déi am internationale Moossystem benotzt gëtt.","Eng Zäitunitéit, déi eng Sechzegstel vun enger Minutt duerstellt.","Eng Sekonn ass eng Eenheet fir Zäitmiessung, déi eng Sechzegstel vun enger Minutt duerstellt."
sëlwer,SELWER2UNI1,ADJ,silver,made of silver,ech krut e sëlwere Bracelet fir de Gebuertsdag geschenkt,made from or largely consisting of silver,aus oder gréisstendeels aus engem wäertvolle gro-wäisse Metall gemaach,"e wäertvollt, glänzend gro-metallescht Material, dat dacks fir Bijouen a Mënze benotzt gëtt","Sëlwer: e wäertvollt Edelmetall mat groer Faarf, dat fir Bijouen, Mënzen an aner Géigestänn benotzt gëtt."
Sex,SEX1UNI2,SUBST,sex,"sexual intercourse, sexual activity","bei dir dréit sech alles ëm Suen, Sex an Autoen!",activities associated with sexual intercourse,"Aktivitéiten, déi mam Geschlechtsverkéier ze dinn hunn.",kierperlech Aktivitéit mat sexueller Natur; Geschlechtsverkéier,"Sex: Kierperlech Aktivitéit tëscht Persounen, déi sexuell Gefiller oder Intimitéit ausdréckt."
spillen,SPILLEN1UNI2,VRB,to play,a sport,mäi Bouf spillt Tennis a mäi Meedche Fussball,participate in games or sport,bei Spiller oder Sportaarte matmaachen,"eng Aktivitéit maachen, wéi zum Beispill e Sport oder e Spill maachen, fir Spaass ze hunn oder sech ze entspanen","Spillen: Eng Aktivitéit maachen, bei där ee Spaass huet, wéi zum Beispill e Spill spillen oder Musek maachen."
sportlech,SPORTLECH1UNI1,ADJ,sporting,connected with sport,den Athleet ass fir seng sportlech Leeschtunge geéiert ginn,relating to or used in sports,bezitt sech op oder gëtt beim Sport benotzt,kierperlech aktiv oder fit; bezitt sech op Sport oder kierperlech Leeschtungen,"Sportlech bedeit kierperlech aktiv, fit oder bezitt sech op Aktivitéiten am Zesummenhang mam Sport."
stellen,STELLEN1UNI11,VRB,to stand,to place upright,"fir de Wäin ze versuergen, soll een d'Fläsche leeën, net stellen",put into an upright position,an eng oprecht Positioun bréngen,"oprecht setzen, vertikal opstellen (zum Beispill eng Fläsch)",Eppes op eng Plaz setzen oder opriichten.
stellen,STELLEN1UNI4,VRB,to set,"to adjust, to regulate",stell d'Temperatur vum Heizkierper méi niddereg!,alter or regulate so as to achieve accuracy or conform to a standard,"Änneren oder astellen, fir genee ze sinn oder engem bestëmmte Standard ze entspriechen.",d'Temperatur oder Astellung vun engem Apparat ajustéieren oder änneren,Eppes op eng Plaz setzen oder opriichten.
stoen,STOEN1UNI1,VRB,to stand,to be upright,"no deem laange Sëtze war ech frou, emol nees ze stoen",be standing; be upright,an enger oprechter Positioun sinn; oprecht sinn,"op de Féiss sinn, net sëtzen oder leien",stoen: oprecht op de Féiss sinn; sech an enger vertikaler Positioun befannen.
Streech,STREECH2UNI1,SUBST,trick,in a card game,"wann ee gutt Kaarten huet, ass et liicht, vill Streech ze kréien","(card games) in a single round, the sequence of cards played by all the players; the high card is the winner","(Kaartespill) an enger eenzeger Ronn, d'Reiefolleg vun de Kaarten, déi vun alle Spiller geluecht ginn; déi héchst Kaart gewënnt.","E Spillronn, déi een am Kaartespill gewanne kann.","E laang, schmuel Linn oder Markéierung, déi mat engem Stëft, engem Pinsel oder engem aneren Instrument gezunn gëtt."
strikt,STRIKT1UNI1,ADJ,strict,"rigorous, stringent","d'Personal vum Betrib krut strikt Uweisungen, wéi et sech soll behuelen, wann et brennt",(of rules) stringently enforced,(vu Reegelen) déi ganz streng duerchgesat ginn,ganz genee a streng; ouni Ausnam oder Ofwäichung,"Strikt bedeit ganz genee, streng oder ouni Ausnam."
treffen,TREFFEN1UNI11,VRB,to meet,"to touch, to join","do, wou zwou grouss Stroossen sech treffen , sinn dacks Rout Luuchten",be in direct physical contact with; make contact,a kierperlech a Beréierung sinn; a Kontakt kommen,openee stoussen oder sech kräizen,Treffen: sech mat enger oder méi Persoune begéinen oder zesummekommen.
Urteel,URTEEL1UNI1,SUBST,judgement,of a court of law,"hues de wëlles, géint d'Urteel an Appell ze goen?",(law) the determination by a court of competent jurisdiction on matters submitted to it,"(droit) D'Entscheedung vun engem zoustännege Geriicht iwwer eng Saach, déi him virgeluecht gouf.",Eng offiziell Decisioun oder e Riichtersproch vun engem Geriicht.,"En offiziell Entscheedung oder Beuerteelung, déi vun engem Riichter oder engem Geriicht getraff gëtt."
vernichten,VERNICHTEN1UNI1,VRB,to destroy,to eliminate,"dat Land ass bereet, seng cheemesch Waffen ze vernichten","do away with, cause the destruction or undoing of","aus dem Wee raumen, d'Zerstéierung oder den Ënnergang ervirruffen",komplett zerstéieren oder eliminéieren,"Vernichten: eppes komplett zerstéieren oder eliminéieren, sou datt et net méi existéiert."
verteidegen,VERTEIDEGEN1UNI1,VRB,to defend,against an attack,"d'Arméi ass do, fir d'Land ze verteidegen",be on the defensive; act against an attack,"an der Positioun sinn, fir sech géint en Ugrëff ze wieren; géint eng Attack handelen","verteidegen: eppes oder een géint Gefor oder Ugrëff schützen, ofwieren oder verdeedegen","Verteidegen: eppes oder een géint Ugrëff oder Kritik schützen, ofwieren oder sech dofir asetzen."
Verteidegung,VERTEIDEGUNG1UNI4,SUBST,defence,in a team sport,mäi Brudder spillt an eiser Fussballsekipp an der Verteidegung,(sports) the team that is trying to prevent the other team from scoring,"(d'Sportaart) d'Ekipp, déi probéiert ze verhënneren, datt déi aner Ekipp Punkte mécht","Verteidegung: Deel vun enger Ekipp, deen dofir zoustänneg ass, den eegene Gol oder d'Ekipp géint Géigner ze schützen.","Verteidegung: D'Aktioun, sech oder een aneren ze schützen oder géint eppes ze wieren."
virkommen,VIRKOMMEN1UNI2,VRB,to feel,to have the feeling of being,hei kënnt ee sech vir wéi an der Spillschoul,be felt or perceived in a certain way,als op eng bestëmmten Aart a Weis empfonnt oder wouergeholl ginn,"sech fillen oder den Androck hunn, wéi wann een op enger bestëmmter Plaz oder an enger bestëmmter Situatioun wier","Virkommen: geschéien, optrieden oder sech erginn."
wëll,WELL1UNI1,ADJ,wild,not domesticated,"déi do Kaz kënnt net bei dech, se ass wëll",in a natural state; not tamed or domesticated or cultivated,"an engem natierlechen Zoustand; net gezëmt, domestizéiert oder ugeplanzt",net zaam; net gewinnt u Mënschen; schei an onzougänglech,"""Wëll"" bedeit, datt een eppes wënscht oder gär hätt, oder datt een d'Absicht huet, eppes ze maachen. Et kann och bedeiten, datt eppes net gezämmt oder net kultivéiert ass."
Wiesen,WIESEN1UNI4,SUBST,farm,"farmland(s), farmstead","de Bauer huet e schéint, grousst Wiese geierft",workplace consisting of farm buildings and cultivated land as a unit,"Aarbechtsplaz, déi aus Bauerenhaiser an ugebautem Land als eng Eenheet besteet.","Eng Fläch mat Gras, déi meeschtens als Weid oder fir Hee benotzt gëtt.","Wiesen: Flächen, déi mat Gras oder anere Planzen bewuess sinn, déi meeschtens als Weid oder fir Hee benotzt ginn."
wiesselen,WIESSELEN1UNI4,VRB,to change,to become different,"zënter d'Direktioun vum Hotel gewiesselt huet , ass de Service besser ginn","become different in some particular way, without permanently losing one's or its former characteristics or essence","An enger bestëmmter Aart anescht ginn, ouni seng fréier Eegenschaften oder säi Kär dauerhaft ze verléieren.","änneren oder austauschen, eng Persoun oder eng Saach duerch eng aner ersetzen",Wiesselen: eppes duerch eppes aneres ersetzen oder austauschen.
Zeitungspabeier,ZEITUNGSPABEIER1UNI1,SUBST,newspaper,newsprint,d'Fra um Maart huet mer mäi Choufleur an Zeitungspabeier agewéckelt,cheap paper made from wood pulp and used for printing newspapers,"Bëllegt Pabeier aus Holzfaser, dat benotzt gëtt fir Zeitungen ze drécken.","Pabeier, deen een normalerweis benotzt, fir Zeitungen ze drécken, an deen och benotzt gëtt, fir Saachen anzewéckelen.","Zeitungspabeier: Pabeier, op deem Zeitunge gedréckt ginn, oder Pabeier, deen aus Zeitunge gemaach gëtt."
Zell,ZELL1UNI2,SUBST,cell,biological unit,de Professer huet de Schüler den Opbau vun enger Zell erkläert,(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals,"(biologesch) déi klengst strukturell a funktionell Eenheet vun all Liewewiesen; si kënnen als eegestänneg Liewenseenheeten existéieren (wéi bei eenzellege Liewewiesen) oder Kolonien a Stoffer bilden, wéi bei méi héich entwéckelte Planzen an Déieren.","eng Zell ass déi klengst Eenheet vun engem liewegen Organismus, déi all Grondfunktioune vum Liewen erfëlle kann.","Eng kleng Eenheet, déi all Liewewiesen opbaut an déi klengst funktionell Eenheet vun engem Organismus ass."
zerstoussen,ZERSTOUSSEN1UNI1,VRB,to crush,to break into small pieces,fir dëse Cocktail muss de d'Äis zerstoussen,break into small pieces,A kleng Stécker zerbriechen.,Zerdrécken oder zerklengeren duerch Stampen oder Schloen.,Zerstoussen: eppes duerch Schloen oder Drock zerdrécken oder kleng maachen.
zesummen,ZESUMMEN1UNI1,ADV,together,with each other,"wann ech mäi Schnapp lass sinn, da gi mer zesumme schwammen",in each other's company,an der Gesellschaft vuneneen,"zesummen: mateneen, net eleng, an enger Grupp oder zu méi wéi enger Persoun.","zesummen: mateneen, net eleng, an enger Grupp oder Gemeinschaft."
